Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,EUR=,XAU=,GDX,GLD
2013-04-25,14.584985415,31.94,23.38,13.735,144.76,158.52,1.3012,1466.99,30.58,141.63
2013-04-26,14.90016367125,31.79,23.4,12.7405,144.11,158.24,1.3026,1462.5,29.46,140.91
2013-04-29,15.361413210000002,32.61,23.76,12.487000000000002,145.11,159.3,1.3097,1475.79,29.91,142.3
2013-04-30,15.813555615,33.1,23.95,12.6905,146.07,159.68,1.3166,1476.6,30.36,142.77
2013-05-01,15.688912882500002,32.72,23.99,12.4115,142.61,158.28,1.3177,1456.74,29.65,141.11
2013-05-02,15.91141266,33.16,24.11,12.627500000000001,143.67,159.75,1.3063,1466.24,29.63,141.92
2013-05-03,16.070698215000004,33.49,23.96,12.902500000000002,145.37,161.368,1.3113,1470.2,29.69,142.09
2013-05-06,16.4539121175,33.75,23.91,12.786000000000001,148.45,161.78,1.3074,1468.89,29.73,142.15
2013-05-07,16.3806264765,33.31,24.15,12.886500000000002,149.32,162.5999,1.3077,1451.99,28.85,140.38
2013-05-08,16.56569772,32.99,24.25,12.934000000000001,150.26,163.34,1.3151,1472.19,30.44,142.46
2013-05-09,16.3131979725,32.66,24.36,13.008000000000003,148.54,162.881,1.3041,1457.7,29.85,140.81
2013-05-10,16.1774838225,32.69,24.5,13.1815,149.1,163.41,1.2992,1447.7,29.81,139.6
2013-05-13,16.240698045000002,33.03,24.08,13.2255,149.63,163.54,1.2975,1430.05,29.03,138.43
2013-05-14,15.852127005000002,33.53,23.84,13.4165,154.52,165.23,1.2918,1425.39,28.71,137.81
2013-05-15,15.316056112500002,33.845,24.2,13.328000000000001,155.61,166.115,1.2886,1392.29,27.4,134.63
2013-05-16,15.5206273365,34.08,23.94,13.206000000000001,154.47,165.34,1.2881,1385.69,27.48,134.09
2013-05-17,15.473555955,34.87,24.04,13.495,158.18,166.94,1.2838,1358.7,26.38,131.07
2013-05-20,15.818912752500001,35.08,24.08,13.3815,158.9,166.93,1.2882,1393.65,28.02,135.12
2013-05-21,15.702127155000003,34.85,24.15,13.443000000000001,160.73,167.17,1.2905,1375.44,27.32,132.88
2013-05-22,15.7626270945,34.61,24.07,13.148,159.34,165.93,1.2856,1368.54,27.67,131.94
2013-05-23,15.790698495,34.15,24.05,13.090000000000002,157.41,165.45,1.2935,1390.7,27.87,134.61
2013-05-24,15.8981983875,34.269,23.923,13.087000000000002,158.72,165.308,1.2929,1385.55,27.5,133.76
2013-05-27,,,,,,,1.2929,1394.28,,
2013-05-28,15.765662805750003,35.02,24.08,13.364500000000001,160.7,166.3,1.2854,1379.85,27.22,133.49
2013-05-29,15.891055537500002,34.88,24.27,13.276499999999999,162.87,165.22,1.2938,1392.45,28.5,134.83
2013-05-30,16.127841015,35.03,24.21,13.3415,164.35,165.83,1.3048,1413.25,30.06,136.7
2013-05-31,16.06194822375,34.9,24.28,13.46,162.08,163.445,1.2995,1386.4,29.4999,133.92
2013-06-03,16.097126760000002,35.59,25.24,13.344000000000001,163.56,164.35,1.3075,1411.1,30.36,136.51
2013-06-04,16.0467696675,34.99,25.36,13.285,161.68,163.56,1.3078,1399.04,29.84,135.23
2013-06-05,15.896769817500001,34.78,24.7,13.358500000000001,158.3,161.272,1.3093,1402.8,29.93,135.52
2013-06-06,15.659270055,34.96,24.65,13.3915,159.68,162.73,1.3245,1413.15,30.3,136.53
2013-06-07,15.77894850675,35.67,24.59,13.8435,166.01,164.8,1.3222,1383.89,28.99,133.28
2013-06-10,15.6746271825,35.47,25.01,14.0535,167.49,164.8,1.3256,1386.4,29.09,133.94
2013-06-11,15.628555800000003,34.84,24.71,13.738999999999999,163.31,163.098,1.3314,1378.99,28.13,133.25
2013-06-12,15.435341707500001,35.0,24.46,13.5835,161.86,161.75,1.3336,1387.79,28.35,134.25
2013-06-13,15.57016300125,34.715,24.99,13.789500000000002,165.82,164.21,1.3374,1385.44,28.63,133.74
2013-06-14,15.358913212500001,34.4,24.92,13.6995,162.92,163.175,1.3346,1390.2,28.12,134.43
2013-06-17,15.428556,35.0,25.1,13.903,164.11,164.44,1.3367,1384.35,28.19,133.77
2013-06-18,15.4203417225,34.98,25.465,14.088000000000001,164.15,165.735,1.3393,1367.79,27.38,132.13
2013-06-19,15.107127750000002,34.59,25.0,13.908000000000001,161.56,163.45,1.3294,1350.69,26.51,130.59
2013-06-20,14.887056541500002,33.49,24.185,13.672,155.41,159.4,1.3218,1277.39,24.55,123.6
2013-06-21,14.767842375,33.265,24.195,13.668000000000001,154.25,159.07,1.3122,1296.75,24.9,125.05
2013-06-24,14.376414195000002,33.715,23.58,13.530500000000002,150.78,157.06,1.3117,1281.29,23.75,123.93
2013-06-25,14.3796284775,33.67,23.88,13.604400000000002,153.06,158.575,1.3084,1276.74,23.66,123.47
2013-06-26,14.216771497500002,34.35,24.005,13.8785,151.66,160.14,1.3011,1225.24,22.22,118.28
2013-06-27,14.063557365,34.62,24.05,13.877500000000001,153.51,161.08,1.3035,1199.79,22.79,115.94
2013-06-28,14.1617715525,34.545,24.23,13.884500000000001,151.25,160.42,1.3008,1233.14,24.49,119.11
2013-07-01,14.614985385000002,34.36,23.886,14.105000000000002,151.75,161.36,1.3063,1252.8,24.89,121.13
